,0
0,7317.656208000146
1,10595.437535999808
2,-617.7187679999042
3,4934.4374880001415
4,-800.1562560000457
5,9868.781279999763
6,10966.031232000096
7,-495.8437439999543
8,15493.968767999904
9,-1253.551218768116
10,1338.8325817440636
11,6858.1874880001415
12,-181.87497600005008
13,1982.8125119998585
14,6752.156256000046
15,10748.25
16,-8507.062512000091
17,-17404.31251199986
18,3480.0
19,-1255.1707500000484
20,0.0
21,0.0
22,28219.036612000316
23,-1009.8359440001659
24,-53710.210892
25,17182.851556000067
26,21339.1952800001
27,2037.3437759997323
28,13158.132780000102
29,15957.703164000064
30,988.6093359999359
31,-13240.804667999968
32,-8682.476555999834
33,8564.4609439997
34,18070.5077800001
35,20762.523444000166
36,-15560.492167999968
37,-19803.1640560003
38,-21851.375
39,-3687.8359439997002
40,17508.359387999866
41,486.6875
42,-4303.507832000032
43,4880.281275999965
44,22907.523392000003
45,-8170.804667999968
46,-8922.164055999834
47,-12943.328112000134
48,6008.132780000102
49,3788.179719999898
50,-17451.1797199999
51,6050.6875
52,-2337.867167999968
53,-37669.835944000166
54,-22083.953112000134
55,34808.8202800001
56,-17934.210892000003
57,-483.13283199979924
58,13243.851555999834
59,-23863.835944000166
60,20236.835944000166
61,12008.953112000134
