,0
0,1266090.8028315823
1,1248850.6700515822
2,1251260.341887582
3,1273563.1622195821
4,1262198.521607582
5,1277465.8028315823
6,1271074.4747195821
7,1282145.193495582
8,1293251.966887582
9,1291246.818495582
10,1286921.4747195821
11,1276420.013775582
12,1275679.013775582
13,1253601.966887582
14,1256706.326275582
15,1269108.834107582
16,1268529.013775582
17,1260830.9825515822
18,1257497.8028315823
19,1248446.146607582
20,1248714.9825515822
21,1265997.6700515822
22,1270927.818495582
23,1271078.130995582
24,1280559.193495582
25,1290802.6856635823
26,1295567.9981635823
27,1299116.4903315823
28,1289080.4903315823
29,1292331.505995582
30,1289474.146607582
31,1289531.834107582
32,1305038.193495582
33,1295736.4903315823
34,1298461.3106635823
35,1294558.6700515822
36,1291507.834107582
37,1271142.521607582
38,1287071.6856635823
39,1273970.834107582
40,1285378.130995582
41,1294659.013775582
42,1293946.146607582
43,1311959.4747195821
44,1316900.4903315823
45,1320806.6856635823
46,1321107.3106635823
47,1321025.146607582
48,1314809.521607582
49,1313463.3106635823
50,1309052.146607582
51,1303695.638775582
52,1288758.130995582
53,1286552.8028315823
54,1276355.521607582
55,1282553.4747195821
56,1265492.8028315823
57,1267068.8497195821
58,1258461.834107582
59,1263581.8028315823
60,1266460.4903315823
61,1268320.505995582
62,1261437.818495582
