,0
0,1000000.0
1,1012471.7406049449
2,996964.2241480179
3,1010198.933715281
4,1037236.7359278497
5,1036028.5710141734
6,988547.0730167719
7,994885.6316963275
8,994037.3463322235
9,983718.9160733613
10,946403.2285569209
11,946782.8615050531
12,935545.9703253071
13,922980.8227394208
14,891544.2150703509
15,921135.1518046967
16,911104.8879114058
17,899976.9615001337
18,885047.4438723362
19,847502.4469210395
20,842832.5026213886
21,861604.9704611151
22,826345.4801738373
23,830417.7396953217
24,820407.4822492084
25,867951.4791670967
26,868441.3617129071
27,898470.8495979438
28,905227.0314960956
29,904348.7058879536
30,926743.6247442524
31,938130.9007091181
32,927382.6073712787
33,912043.3552794672
34,974377.742519555
35,959856.7356731099
36,971113.6944465766
37,993009.9206428657
38,974417.8778322971
39,942571.5358245136
40,953460.1190040692
41,972590.9897873896
42,999715.9947032587
43,1004666.5799581854
44,999436.5775559443
45,976094.3810920845
46,982052.385463891
47,1012910.0911193109
48,1009706.1846809516
49,992461.1200197971
50,1006173.9766895795
51,1018179.005151633
52,1018918.2646007197
53,982631.2874775409
54,998648.4338264595
55,988249.7330674137
56,997082.1801643501
57,1012021.7315890082
58,1005595.0746759296
59,1004586.4317510884
60,1025734.5882587909
61,1023528.0672657514
62,1029077.6221280488
63,1055933.2436934637
64,1053917.1816517424
65,1066651.435640722
66,1053816.8434325384
67,1074466.4296986174
68,1054934.5122723968
69,1061242.2318919841
70,1038159.323709875
71,1043977.0996371089
72,1036123.1939491328
73,1065623.9488048211
74,1061961.3624755072
75,1055344.3078829534
76,1039066.5272765375
77,1037210.8838167964
78,1061791.0323897528
79,1040055.1024823579
80,1053058.801218935
81,1065154.0727061883
82,1092859.264590212
83,1095293.8100636029
84,1087070.366496198
85,1096467.8884688544
86,1098082.9652648186
87,1098253.417643659
88,1098074.155025319
89,1095061.931095639
90,1099059.0594337566
91,1102610.0501896453
92,1079162.6210265374
93,1065697.856430827
94,1064759.3279162224
95,1072079.3611327338
96,1070090.9532415716
97,1044940.5903507782
98,1042923.3045010957
99,1040035.1573070233
100,1061654.4747425627
101,1057392.918680578
102,1068794.0217833733
103,1058471.798308742
104,1065621.3791464127
105,1037639.4009200264
106,1043168.888188603
107,1022961.7075608271
108,1024817.4121671113
109,1025413.8122413739
110,1020821.568783498
111,1044022.1294298945
112,1047506.7989913154
113,1079673.8559952728
114,1091653.861111718
115,1095678.5211820088
116,1108736.0598255706
117,1117230.1715726338
118,1112884.6742130828
119,1136444.9225069769
120,1139445.8889571356
121,1141359.1657902312
122,1139881.8704494182
123,1136624.0628322307
124,1147116.7386857024
125,1149265.687702531
126,1163668.8583944596
127,1167882.815005251
128,1162968.4494289104
129,1159872.284076364
130,1174132.7789583977
131,1170108.1187628068
132,1158016.6404913224
133,1173072.7433665935
134,1177656.2378568135
135,1168034.4234730315
136,1144720.9824240056
137,1155070.8600491963
138,1162741.7096524627
139,1171624.2034406147
140,1191159.791664218
141,1191575.8277305658
142,1195336.0602022894
143,1195866.0167889984
144,1200515.9547667718
145,1195951.3041876114
146,1189946.923921972
147,1166681.08232414
148,1162930.883774577
149,1170942.6383861247
150,1183054.0618329437
151,1190079.6884786931
